,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
19063,2019-11-14,Townhouse,22342 Harbor Ridge Ln #2,Torrance,CA,90502.0,477900,3.0,1.5,1287.0,167307.0,1980.0,84.0,371.0,370.0,PW19238864,33.8222437,-118.2887855,torrance_townhouse-0-600K.csv,2,Torrance
10503,2019-11-22,Townhouse,22346 Harbor Ridge Ln #3,Torrance,CA,90502.0,480900,3.0,1.5,1287.0,167307.0,1980.0,64.0,374.0,370.0,PW19254857,33.8222437,-118.2887855,carson_condos.csv,1,Carson
16773,2019-11-22,Townhouse,22346 Harbor Ridge Ln #3,Torrance,CA,90502.0,480900,3.0,1.5,1287.0,167307.0,1980.0,76.0,374.0,370.0,PW19254857,33.8222437,-118.2887855,torrance_condos-0_to_500K.csv,2,Torrance
19030,2019-12-06,Townhouse,2235 241 St #7,Lomita,CA,90717.0,592000,3.0,2.5,1478.0,19722.0,1987.0,62.0,401.0,310.0,SB19130725,33.8066326,-118.32116540000001,torrance_townhouse-0-600K.csv,2,Torrance
3298,2019-12-06,Townhouse,2235 241 St #7,Lomita,CA,90717.0,592000,3.0,2.5,1478.0,19722.0,1987.0,50.0,401.0,310.0,SB19130725,33.8066326,-118.32116540000001,lomita_01_nosfh.csv,1,Lomita
19128,2019-07-24,Townhouse,2235 241 St #9,Lomita,CA,90717.0,580000,3.0,2.5,1265.0,19723.0,1987.0,197.0,458.0,292.0,SB19111547,33.8066326,-118.32116540000001,torrance_townhouse-0-600K.csv,2,Torrance
3255,2019-07-24,Townhouse,2235 241 St #9,Lomita,CA,90717.0,580000,3.0,2.5,1265.0,19723.0,1987.0,185.0,458.0,292.0,SB19111547,33.8066326,-118.32116540000001,lomita_01_nosfh.csv,1,Lomita
2063,2019-08-22,Townhouse,22421 Denker Ave #1,Torrance,CA,90501.0,460000,3.0,2.5,1450.0,8383.0,2006.0,153.0,317.0,300.0,SB19083403,33.822675,-118.304204,harbor-gateway-south.csv,1,Harbor Gateway South
19058,2019-08-22,Townhouse,22421 Denker Ave #1,Torrance,CA,90501.0,460000,3.0,2.5,1450.0,8383.0,2006.0,168.0,317.0,300.0,SB19083403,33.822675,-118.304204,torrance_townhouse-0-600K.csv,2,Torrance
19043,2018-12-17,Townhouse,22421 Denker Ave #4,Torrance,CA,90501.0,450000,3.0,2.5,1500.0,8391.0,2006.0,416.0,300.0,300.0,18-348258,33.822675,-118.304204,torrance_townhouse-0-600K.csv,2,Torrance
2000,2018-12-17,Townhouse,22421 Denker Ave #4,Torrance,CA,90501.0,450000,3.0,2.5,1500.0,8391.0,2006.0,401.0,300.0,300.0,18-348258,33.822675,-118.304204,harbor-gateway-south.csv,1,Harbor Gateway South
16960,2018-05-15,Mobile/Manufactured Home,22516 39B Normandie Ave S Unit 39B,Torrance,CA,90502.0,14900,1.0,1.0,480.0,79801.5,1961.0,632.0,31.0,0.0,SB17265853,33.821781,-118.29781100000001,torrance_nosfh-notownhome-nocondo.csv,2,Torrance
3568,2018-05-15,Mobile/Manufactured Home,22516 39B Normandie Ave S Unit 39B,Torrance,CA,90502.0,14900,1.0,1.0,480.0,79801.5,1961.0,620.0,31.0,0.0,SB17265853,33.821781,-118.29781100000001,carson_nosfh_nocondo.csv,1,Carson
3672,2019-10-10,Mobile/Manufactured Home,22516 Normandie Ave #30,Torrance,CA,90502.0,75000,2.0,1.0,1232.0,185199.0,1959.0,107.0,61.0,0.0,DW19184561,33.821781,-118.29781100000001,carson_nosfh_nocondo.csv,1,Carson
17026,2019-10-10,Mobile/Manufactured Home,22516 Normandie Ave #30,Torrance,CA,90502.0,75000,2.0,1.0,1232.0,185199.0,1959.0,119.0,61.0,0.0,DW19184561,33.821781,-118.29781100000001,torrance_nosfh-notownhome-nocondo.csv,2,Torrance
